EmpID,Employee_Name,Salary,Position,State,Date_of_Birth,Gender,Marital_Status,Citizen_Status,Hireing_Date,Termination_Date,Employment_Status,Department,RecruitmentSource,Performance_Score,Engagement_Survey,Emp_Satisfaction
10131,"Quinn, Sean",83363,Software Engineer,MA,06-11-1984,M,Married,Eligible NonCitizen,21-02-2011,15-08-2015,Voluntarily Terminated,Software Engineering,Diversity Job Fair,Fully Meets,4.15,4
10152,"Rarrick, Quinn",61729,Production Technician I,MA,31-12-1984,M,Divorced,US Citizen,26-09-2011,07-04-2018,Voluntarily Terminated,Production,Indeed,Fully Meets,3.8,5
10058,"Rhoads, Thomas",45115,Production Technician I,MA,22-07-1982,M,Divorced,US Citizen,16-05-2011,15-01-2016,Voluntarily Terminated,Production,LinkedIn,Fully Meets,5,4
10230,"Roberson, May",64971,Production Technician II,MA,05-09-1981,F,Divorced,Eligible NonCitizen,26-09-2011,22-10-2011,Voluntarily Terminated,Production,Google Search,Fully Meets,4.5,4
10224,"Robertson, Peter",55578,Production Technician II,MA,03-07-1972,M,Married,US Citizen,05-07-2011,08-02-2012,Voluntarily Terminated,Production,Indeed,Fully Meets,4.2,5
10047,"Robinson, Alain",50428,Production Technician I,MA,07-01-1974,M,Married,US Citizen,10-01-2011,26-01-2016,Voluntarily Terminated,Production,Indeed,Fully Meets,5,3
10285,"Robinson, Cherly",61422,Production Technician I,MA,07-01-1985,F,Married,US Citizen,10-01-2011,17-05-2016,Terminated for Cause,Production,Indeed,Needs Improvement,3.6,3
10149,"Roehrich, Bianca",120000,Principal Data Architect,MA,27-05-1973,F,Single,US Citizen,05-01-2015,10-11-2018,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,3.88,3
10065,"Rossetti, Bruno",53180,Production Technician I,MA,18-03-1987,M,Single,US Citizen,04-04-2011,13-08-2018,Voluntarily Terminated,Production,Google Search,Fully Meets,5,5
10222,"Ruiz, Ricardo",148999,IT Manager - DB,MA,04-01-1964,M,Divorced,US Citizen,09-01-2012,04-11-2015,Voluntarily Terminated,IT/IS,Diversity Job Fair,Fully Meets,4.3,4
10260,"Sadki, Nore",46428,Production Technician I,MA,21-12-1974,M,Single,US Citizen,05-01-2009,30-07-2018,Voluntarily Terminated,Production,Google Search,Fully Meets,4.6,5
10229,"Salter, Jason",88527,Data Analyst,MA,17-12-1987,M,Divorced,US Citizen,05-01-2015,31-10-2015,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,4.2,3
10095,"Sloan, Constance",63878,Production Technician II,MA,25-11-1987,F,Single,US Citizen,26-10-2009,08-04-2015,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,4.68,4
10153,"Smith, Leigh Ann",55000,Administrative Assistant,MA,14-06-1987,F,Married,US Citizen,26-09-2011,25-09-2013,Voluntarily Terminated,Admin Offices,Diversity Job Fair,Fully Meets,3.8,4
10030,"Squatrito, Kristen",62425,Production Technician I,MA,26-03-1973,F,Divorced,US Citizen,13-05-2013,29-06-2015,Voluntarily Terminated,Production,LinkedIn,Exceeds,4.1,4
10221,"Tavares, Desiree",60754,Production Technician I,MA,03-04-1975,F,Married,Non-Citizen,27-04-2009,01-04-2013,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.5,5
10146,"Tejeda, Lenora",72202,Production Technician II,MA,24-05-1953,F,Married,US Citizen,16-05-2011,08-07-2017,Voluntarily Terminated,Production,Google Search,Fully Meets,3.93,3
10141,"Theamstern, Sophia",48413,Production Technician I,MA,09-05-1965,F,Single,US Citizen,05-07-2011,05-09-2016,Voluntarily Terminated,Production,Indeed,Fully Meets,3.98,4
10268,"Thibaud, Kenneth",67176,Production Technician II,MA,16-09-1975,M,Widowed,US Citizen,25-06-2007,30-08-2010,Voluntarily Terminated,Production,Other,Fully Meets,4.1,4
10044,"Tredinnick, Neville",75281,Network Engineer,MA,05-05-1988,M,Married,US Citizen,05-01-2015,12-02-2016,Voluntarily Terminated,IT/IS,CareerBuilder,Fully Meets,5,3
10102,"True, Edward",100416,Software Engineer,MA,14-06-1983,M,Single,Non-Citizen,18-02-2013,15-04-2018,Voluntarily Terminated,Software Engineering,Diversity Job Fair,Fully Meets,4.6,3
10270,"Trzeciak, Cybil",74813,Production Technician II,MA,15-03-1985,F,Single,US Citizen,10-01-2011,02-07-2014,Voluntarily Terminated,Production,LinkedIn,Fully Meets,4.4,3
10014,"Veera, Abdellah",58523,Production Technician I,MA,31-01-1987,M,Divorced,US Citizen,13-08-2012,05-02-2016,Voluntarily Terminated,Production,LinkedIn,Exceeds,4.5,5
10118,"Voldemort, Lord",113999,Database Administrator,MA,07-08-1986,M,Married,US Citizen,16-02-2015,22-02-2017,Terminated for Cause,IT/IS,Employee Referral,Fully Meets,4.33,3
10022,"Volk, Colleen",49773,Production Technician I,MA,03-06-1986,F,Married,US Citizen,26-09-2011,08-02-2016,Terminated for Cause,Production,Google Search,Exceeds,4.3,5
10274,"Wallace, Courtney  E",80512,Production Manager,MA,14-11-1955,F,Married,US Citizen,26-09-2011,02-01-2012,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.5,3
10293,"Wallace, Theresa",50274,Production Technician I,MA,02-08-1980,F,Single,US Citizen,13-08-2012,01-09-2015,Voluntarily Terminated,Production,CareerBuilder,Needs Improvement,2.5,3
10072,"Whittier, Scott",58371,Production Technician I,MA,24-05-1987,M,Single,US Citizen,10-01-2011,15-05-2014,Voluntarily Terminated,Production,LinkedIn,Fully Meets,5,5
10048,"Wilber, Barry",55140,Production Technician I,MA,09-09-1965,M,Married,Eligible NonCitizen,16-05-2011,07-09-2015,Voluntarily Terminated,Production,Website,Fully Meets,5,3
10204,"Wilkes, Annie",58062,Production Technician I,MA,30-07-1983,F,Divorced,US Citizen,10-01-2011,14-05-2012,Voluntarily Terminated,Production,Google Search,Fully Meets,3.6,5
10264,"Williams, Jacquelyn",59728,Production Technician I,MA,02-10-1969,F,Single,US Citizen,09-01-2012,27-06-2015,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.3,4
10033,"Winthrop, Jordan",70507,Production Technician II,MA,07-11-1958,M,Single,US Citizen,07-01-2013,21-02-2016,Voluntarily Terminated,Production,LinkedIn,Exceeds,5,3
10301,"Ybarra, Catherine",48513,Production Technician I,MA,04-05-1982,F,Single,US Citizen,02-09-2008,29-09-2015,Voluntarily Terminated,Production,Google Search,PIP,3.2,2
